ClickTipButton,提示按钮,0
ClickUndoButton,回退按钮,0
ClickPlayButton,开始菜单按钮,0
ClickWinBoardNewGameButton,WinBoard上的NEWGAME,0
ClickPlayBoardNewGameButton,PlayBoard上的NEWGAME,0
ClickReplayButton,重玩按钮,0
ClickStatisticsButton,统计按钮,0
ClickScoreButton,得分按钮,0
WinNumNewGame,随机游戏的胜利次数,0
ClickDailyChallengeButton,每日挑战按钮,0
ClickDailyChallengeHelpButton,每日挑战说明按钮,0
ClickDailyChallengePlayButton,每日挑战开始按钮,0
ReceiveNotifyButtonOn,勾上推送勾选框,0
ReceiveNotifyButtonOff,取消推送勾选框,0
SystemNotify,程序调用推送接口次数(3种),0
ClickNotification,从推送通知回来的用户(3种),0
ClickYesterdayButton,昨日日期按钮,0
ClickTheDayBeforeYesterdayButton,前天日期按钮,0
ClickBeforeYesterdayBeforeButton,前天之前日期按钮,0
WinNumDailyChallenge,每日挑战的胜利次数,0
ClickSetButton,设置按钮,0
ClickManualButton,手动按钮,0
ClickAutoButton,自动按钮,0
SoundOff,音效关闭,0
LeftHandOn,左手模式按钮开启,0
ClickBackDropButton,点击rootOption里的BackDrop,0
ClickCardFrontButton,点击rootOption里的CardFront,0
ClickCardBackButton,点击rootOption里的CardBack,0
SelectGameBG,桌面各个样式,0
SelectCardFront,牌面各个样式,0
SelectCardBack,牌背各个样式,0
SelectLanguage,选择语言,0
AdsOnExitGame,退出游戏内推广告,0
AdsNewGame,new game&replay弹出广告,0
ContactUs,联系我们,0
InviteFriend,邀请好友,0
RateUsDone,5星评价－成功评价,0
RateUsCannel,5星评价－关闭按钮,0
